,input,mod,spp,accel_structure,render_time,intersections_per_ray
340,02_spaceship,median-robin,128,162.6844,60925.6619,4.350857904000401
341,02_spaceship,median-robin,128,164.8236,61987.628600000004,4.350857904000401
342,02_spaceship,sah,128,2913.1809999999996,27325.550499999998,3.948724216665736
343,02_spaceship,sah,128,2910.7155000000002,27554.922300000002,3.948724216665736
344,02_spaceship,sah,128,2914.9887,27660.3789,3.948724216665736
345,02_classic,linear,1,9.999999999999999e-05,3084396.8193,2102827.0
346,02_classic,spatial-longest,1,938.6142,128.088,2.4832253124529204
347,02_classic,spatial-longest,1,842.6998,122.3764,2.4832253124529204
348,02_classic,spatial-longest,1,826.5207,121.92,2.4832253124529204
349,02_classic,spatial-longest,1,821.2554,128.8027,2.4832253124529204
350,02_classic,spatial-longest,1,818.7876,123.2535,2.4832253124529204
351,02_classic,spatial-longest,1,827.5124000000001,122.7445,2.4832253124529204
352,02_classic,spatial-longest,1,817.4346,120.6224,2.4832253124529204
353,02_classic,spatial-longest,1,840.3053,124.4582,2.4832253124529204
354,02_classic,spatial-longest,1,821.6958,128.8196,2.4832253124529204
355,02_classic,spatial-longest,1,830.5474,123.2483,2.4832253124529204
356,02_classic,spatial-random,1,676.4457,88.2565,2.367061319516601
357,02_classic,spatial-random,1,675.5318,88.1608,2.367061319516601
358,02_classic,spatial-random,1,677.0591999999999,86.507,2.367061319516601
359,02_classic,spatial-random,1,672.4738,93.4435,2.367061319516601
360,02_classic,spatial-random,1,669.5091,92.354,2.367061319516601
361,02_classic,spatial-random,1,671.0489,86.1668,2.367061319516601
362,02_classic,spatial-random,1,669.8967,86.1001,2.367061319516601
363,02_classic,spatial-random,1,669.5041,84.2431,2.367061319516601
364,02_classic,spatial-random,1,688.1302999999999,87.2869,2.367061319516601
365,02_classic,spatial-random,1,694.2372,84.7161,2.367061319516601
366,02_classic,spatial-robin,1,670.0185,86.2806,2.367061319516601
367,02_classic,spatial-robin,1,669.8152,91.2163,2.367061319516601
368,02_classic,spatial-robin,1,668.4693000000001,82.2762,2.367061319516601
369,02_classic,spatial-robin,1,714.4451,83.4112,2.367061319516601
