,input,mod,spp,count_accel,mean_accel,std_accel,min_accel,25%_accel,50%_accel,75%_accel,max_accel,count_render,mean_render,std_render,min_render,25%_render,50%_render,75%_render,max_render,count_ipr,mean_ipr,std_ipr,min_ipr,25%_ipr,50%_ipr,75%_ipr,max_ipr,mean_sum
43,02_cornelbox,spatial-robin,1,10.0,0.01722,0.0011063453348751,0.016,0.01625,0.01705,0.0179499999999999,0.0194,10.0,81.2818,3.450864784369275,77.0628,78.44125,81.0892,82.7944,87.7135,10.0,2.622118521938225,4.681111291435603e-16,2.622118521938225,2.622118521938225,2.622118521938225,2.622118521938225,2.622118521938225,81.29902
44,02_cornelbox,spatial-robin,32,10.0,0.01706,0.001132548748031,0.0159,0.0166,0.0168,0.017,0.0201,10.0,2323.99053,45.23737094006461,2279.4733,2290.4802750000003,2311.0524,2344.1089,2424.6862,10.0,2.622966230195799,4.681111291435603e-16,2.6229662301957988,2.6229662301957988,2.6229662301957988,2.6229662301957988,2.6229662301957988,2324.00759
45,02_cornelbox,spatial-robin,128,3.0,0.0167,0.0003464101615137,0.0165,0.0165,0.0165,0.0168,0.0171,3.0,9427.064766666668,39.54580655206556,9384.2833,9409.455999999998,9434.6287,9448.4555,9462.2823,3.0,2.6228332420627507,0.0,2.6228332420627507,2.6228332420627507,2.6228332420627507,2.6228332420627507,2.6228332420627507,9427.081466666668
46,02_spaceship,median-longest,1,10.0,155.63949000000002,1.5892071233794531,153.7079,154.5019,155.15845000000002,156.338475,158.3097,10.0,756.4443200000001,8.24724261917616,745.9856,749.9705749999999,756.35685,763.452025,768.9558,10.0,5.785686226931196,0.0,5.785686226931196,5.785686226931196,5.785686226931196,5.785686226931196,5.785686226931196,912.0838100000001
47,02_spaceship,median-longest,32,10.0,161.41795999999997,9.902595943847812,153.40599999999998,153.73925,155.99329999999998,168.118425,181.8381,10.0,24347.83108,499.275941799669,23881.7333,23892.79345,24175.97745,24782.3053,25061.9944,10.0,5.790946830001415,0.0,5.790946830001415,5.790946830001415,5.790946830001415,5.790946830001415,5.790946830001415,24509.24904
48,02_spaceship,median-longest,128,3.0,154.43803333333332,1.1009941886010617,153.6834,153.80635,153.92929999999998,154.81534999999997,155.70139999999998,3.0,95213.3141,145.44478789933305,95083.6767,95134.6722,95185.6677,95278.1328,95370.5979,3.0,5.789638236135002,1.0877919644084146e-15,5.789638236135003,5.789638236135003,5.789638236135003,5.789638236135003,5.789638236135003,95367.75213333334
49,02_spaceship,median-random,1,10.0,165.47093999999998,2.1264737985688957,163.4676,164.12975,164.6898,165.803625,170.57510000000002,10.0,502.30641,17.87571074742048,479.6816,493.846975,497.82555,504.93175,538.2917,10.0,4.3484789351867565,0.0,4.3484789351867565,4.3484789351867565,4.3484789351867565,4.3484789351867565,4.3484789351867565,667.7773500000001
50,02_spaceship,median-random,32,10.0,165.51688,3.2365802682598352,161.59009999999998,163.80790000000002,164.7215,165.122575,171.7408,10.0,15327.786800000002,353.5446420719294,14917.1247,15074.1048,15216.67215,15523.9363,16042.5233,10.0,4.351551263647451,0.0,4.351551263647451,4.351551263647451,4.351551263647451,4.351551263647451,4.351551263647451,15493.30368
51,02_spaceship,median-random,128,3.0,163.53570000000002,1.446119230907324,162.2376,162.75635,163.2751,164.18475,165.0944,3.0,61156.3043,1043.2754514673154,60165.8306,60611.76625,61057.7019,61651.541150000005,62245.3804,3.0,4.350857904000401,0.0,4.350857904000401,4.350857904000401,4.350857904000401,4.350857904000401,4.350857904000401,61319.840000000004
52,02_spaceship,median-robin,1,10.0,165.14544999999998,3.4195285120905177,161.6372,163.55665,164.46675,165.31325,174.1284,10.0,495.21854,6.306186712216287,488.4918,490.848175,494.34905,496.196625,510.2915,10.0,4.3484789351867565,0.0,4.3484789351867565,4.3484789351867565,4.3484789351867565,4.3484789351867565,4.3484789351867565,660.3639900000001
53,02_spaceship,median-robin,32,10.0,164.22829000000002,1.576705488211275,162.1676,163.0976,164.1658,164.5341,167.4735,10.0,15214.128520000002,227.69769320002524,14999.9982,15036.08685,15150.00395,15332.5219,15635.0106,10.0,4.351551263647451,0.0,4.351551263647451,4.351551263647451,4.351551263647451,4.351551263647451,4.351551263647451,15378.356810000001
54,02_spaceship,median-robin,128,3.0,164.3905,1.5360471704996497,162.6844,163.75400000000002,164.8236,165.24355,165.6635,3.0,60921.505000000005,1068.208116186827,59851.2245,60388.4432,60925.6619,61456.64525,61987.6286,3.0,4.350857904000401,0.0,4.350857904000401,4.350857904000401,4.350857904000401,4.350857904000401,4.350857904000401,61085.895500000006
55,02_spaceship,sah,1,10.0,2926.51221,45.57700818359696,2879.7365,2898.11805,2906.2898000000005,2953.0682,3023.2266,10.0,244.45820000000003,11.074204609010176,231.3869,234.810425,244.8055,248.045225,262.8814,10.0,3.947015987809762,4.681111291435603e-16,3.9470159878097615,3.9470159878097615,3.9470159878097615,3.9470159878097615,3.9470159878097615,3170.97041
56,02_spaceship,sah,32,10.0,2912.75469,13.853001828841576,2889.4532000000004,2907.225125,2911.9027,2916.63215,2938.5392,10.0,6915.78434,200.56723405239788,6736.6386,6757.53755,6809.1958,7090.908200000001,7261.4391,10.0,3.949596916892096,4.681111291435603e-16,3.9495969168920952,3.9495969168920952,3.9495969168920952,3.9495969168920952,3.9495969168920952,9828.53903
57,02_spaceship,sah,128,3.0,2912.961733333333,2.145021669665005,2910.7155,2911.94825,2913.181,2914.08485,2914.9887,3.0,27513.61723333333,171.1931533703782,27325.5505,27440.2364,27554.9223,27607.6506,27660.3789,3.0,3.948724216665736,0.0,3.948724216665736,3.948724216665736,3.948724216665736,3.948724216665736,3.948724216665736,30426.578966666664
58,02_spaceship,spatial-longest,1,10.0,179.45952000000003,4.415917310216159,176.0086,176.985225,178.05355,179.627025,190.7754,10.0,483.55488,13.6327525991065,472.2666,474.08185,481.003,487.0983250000001,517.9038,10.0,4.329400720147151,9.362222582871205e-16,4.329400720147151,4.329400720147151,4.329400720147151,4.329400720147151,4.329400720147151,663.0144
59,02_spaceship,spatial-longest,32,10.0,191.42756,8.185494964631031,179.1835,184.99295,191.46455,196.852675,203.1936,10.0,14862.10488,453.85723767949776,14390.303,14515.67025,14745.154,15176.67335,15702.8433,10.0,4.33164799776687,9.362222582871205e-16,4.331647997766869,4.331647997766869,4.331647997766869,4.331647997766869,4.331647997766869,15053.53244
60,02_spaceship,spatial-longest,128,3.0,181.9451,3.3168012120113617,179.4537,180.0627,180.6717,183.1908,185.7099,3.0,59235.32603333334,1269.042043123776,57978.6529,58594.7963,59210.9397,59863.6626,60516.3855,3.0,4.3307396786092776,0.0,4.3307396786092776,4.3307396786092776,4.3307396786092776,4.3307396786092776,4.3307396786092776,59417.271133333335
61,02_spaceship,spatial-random,1,10.0,158.84825,1.68539609142777,155.6372,157.88080000000002,158.6735,160.042075,161.6793,10.0,339.37513,7.450405173329702,327.9992,334.00777500000004,339.1563,346.494025,348.5787,10.0,4.735451551268911,9.362222582871205e-16,4.735451551268912,4.735451551268912,4.735451551268912,4.735451551268912,4.735451551268912,498.22338
62,02_spaceship,spatial-random,32,10.0,180.86994,11.787231296355298,164.5479,170.0856,182.58625,190.4703,194.4927,10.0,10419.67698,332.1728229167555,10052.5386,10243.0454,10351.32915,10467.19955,11255.3318,10.0,4.735668625886477,0.0,4.735668625886477,4.735668625886477,4.735668625886477,4.735668625886477,4.735668625886477,10600.54692
63,02_spaceship,spatial-random,128,3.0,156.02856666666665,1.0476256599250229,154.9852,155.50265,156.0201,156.55025,157.0804,3.0,40064.77623333333,335.0820477899441,39738.3957,39893.19945,40048.0032,40227.9665,40407.9298,3.0,4.734685695595564,0.0,4.734685695595564,4.734685695595564,4.734685695595564,4.734685695595564,4.734685695595564,40220.8048
64,02_spaceship,spatial-robin,1,10.0,158.40633,1.4361511140313032,156.39829999999998,157.60864999999998,158.48950000000002,158.874775,160.6922,10.0,340.64972,10.131494441679257,327.4006,332.795025,339.36835,348.0976,358.1196,10.0,4.735451551268911,9.362222582871205e-16,4.735451551268912,4.735451551268912,4.735451551268912,4.735451551268912,4.735451551268912,499.05605
65,02_spaceship,spatial-robin,32,10.0,159.93058000000002,4.43245225876402,154.7199,156.77497499999998,158.6799,163.28875,167.6784,10.0,10445.78547,186.6915994755824,10146.0686,10397.48655,10447.57485,10478.824100000002,10861.6492,10.0,4.735668625886477,0.0,4.735668625886477,4.735668625886477,4.735668625886477,4.735668625886477,4.735668625886477,10605.71605
66,02_spaceship,spatial-robin,128,3.0,154.80583333333334,0.537539880691042,154.2278,154.5634,154.899,155.09485,155.29070000000002,3.0,40910.48616666667,1051.053815923694,40153.565200000005,40310.45880000001,40467.3524,41288.94665,42110.5409,3.0,4.734685695595564,0.0,4.734685695595564,4.734685695595564,4.734685695595564,4.734685695595564,4.734685695595564,41065.292
